Node_name	k	Bias	EF	UF	CF	EUF	ECF	UCF	EUCF	NCF	RoF	PMID	BF_as_integer	Chain	Chain_1	Chain_U
Bcl2	2	1	True	True	True	True	True	True	True	True	True	23134720	8	False	True	True
PIP3	2	1	True	True	True	True	True	True	True	True	True	23134720	2	True	True	True
PIP2	1	1	True	True	True	True	True	True	True	True	True	23134720	1	True	True	True
Snai2	3	5	True	True	True	True	True	True	True	True	True	28209158	241	True	False	True
ESE2	3	5	True	True	True	True	True	True	True	True	True	28209158	220	True	False	True
NF-kB	4	15	True	True	True	True	True	True	True	True	True	28209158	32767	False	True	True
p16	5	19	True	True	False	True	True	True	True	False	False	28209158	235843327	False	False	False
p53	5	6	False	True	True	False	False	True	False	False	False	28209158	2686492704	False	False	False
Cyclin	5	10	False	True	True	False	False	True	False	False	False	28209158	2964365472	False	False	False
TELase	2	2	False	True	True	False	False	True	False	False	False	28209158	10	False	False	False
Rb	3	6	False	True	True	False	False	True	False	False	False	28209158	119	False	False	False
E2F	4	2	False	True	True	False	False	True	False	False	False	28209158	49152	False	False	False
IFNG	3	1	True	True	True	True	True	True	True	True	True	22102804	128	False	True	True
P2	3	3	True	True	True	True	True	True	True	True	True	22102804	112	False	True	True
SMAD	2	1	True	True	True	True	True	True	True	True	True	22102804	4	True	True	True
Apoptosis	2	3	True	True	True	True	True	True	True	True	True	22102804	7	False	True	True
DISC	4	5	True	True	True	True	True	True	True	True	True	22102804	12032	False	True	True
Fas	2	1	True	True	True	True	True	True	True	True	True	22102804	8	False	True	True
FLIP	2	1	True	True	True	True	True	True	True	True	True	22102804	8	False	True	True
Ceramide	3	1	True	True	True	True	True	True	True	True	True	22102804	32	False	True	True
BID	2	1	True	True	True	True	True	True	True	True	True	22102804	8	False	True	True
MCL1	2	1	True	True	True	True	True	True	True	True	True	22102804	8	False	True	True
S1P	2	1	True	True	True	True	True	True	True	True	True	22102804	8	False	True	True
Caspase	4	5	True	True	True	True	True	True	True	True	True	22102804	15104	False	True	True
IAP	2	1	True	True	True	True	True	True	True	True	True	22102804	8	False	True	True
GPCR	2	1	True	True	True	True	True	True	True	True	True	22102804	4	True	True	True
sFas	2	1	True	True	True	True	True	True	True	True	True	22102804	4	True	True	True
CREB	2	1	True	True	True	True	True	True	True	True	True	22102804	4	True	True	True
CTLA4	2	1	True	True	True	True	True	True	True	True	True	22102804	4	True	True	True
TCR	2	1	True	True	True	True	True	True	True	True	True	22102804	8	False	True	True
Pax5_gene	3	3	True	True	True	True	True	True	True	True	True	28584084	84	True	False	True
Ebf1	1	1	True	True	True	True	True	True	True	True	True	28584084	1	True	True	True
Cebpa	2	3	True	True	True	True	True	True	True	True	True	28584084	7	False	True	True
Cebpb	3	3	True	True	True	True	True	True	True	True	True	28584084	21	False	False	False
Mac1_gene	1	1	True	True	True	True	True	True	True	True	True	28584084	1	True	True	True
Spi1	9	146	True	False	False	False	True	False	False	False	False	28584084	893853861996175755091903525371208748255148705905871586544369153949044630645714386844472105274685874285537182850276378007269433730224976593275941280615967	False	False	False
Csf1r_activated	2	1	True	True	True	True	True	True	True	True	True	28584084	1	True	False	True
Csf1r	2	1	True	True	True	True	True	True	True	True	True	28584084	4	True	True	True
E2A_protein_active	2	1	True	True	True	True	True	True	True	True	True	28584084	2	True	True	True
E2A	1	1	True	True	True	True	True	True	True	True	True	28584084	1	True	True	True
Id2	5	1	True	True	True	True	True	True	True	True	True	28584084	64	False	False	False
Spi1_2	8	49	True	True	True	True	True	True	True	False	True	28584084	7717705310436796486164116918171584112185388310028889028038624141563227345169	False	False	False
Runx1	1	1	True	True	True	True	True	True	True	True	True	28584084	1	True	True	True
Gfi1	4	11	True	True	True	True	True	True	True	True	True	28584084	30197	False	True	True
Foxo1	2	2	False	True	True	False	False	True	False	False	False	28584084	5	False	False	False
Ikzf1	2	3	True	True	True	True	True	True	True	True	True	28584084	7	False	True	True
Ebf1_gene	10	33	True	True	True	True	True	True	True	False	True	28584084	486861366614074346484916862168516542303969165765248484399910417198020669810274014524538113145114539536483574028016559671305527593102643482042844201067023347231876842953986476657550491977677414007859536042468740506926192527551501823481581544441416515584	False	False	False
Ets1	1	1	True	True	True	True	True	True	True	True	True	28584084	1	True	True	True
Pax5_protein_active	2	1	True	True	True	True	True	True	True	True	True	28584084	4	True	True	True
IL7r_activated	2	1	True	True	True	True	True	True	True	True	True	28584084	1	True	False	True
Pax5	1	1	True	True	True	True	True	True	True	True	True	28584084	1	True	True	True
Mef2c	3	3	True	True	True	True	True	True	True	True	True	28584084	84	True	False	True
Egr1	4	13	True	True	True	True	True	True	True	True	True	28584084	32607	False	True	True
IL7r	6	21	True	True	False	True	True	True	True	False	True	28584084	1233723648051707904	False	False	False
CD19_gene	2	1	True	True	True	True	True	True	True	True	True	28584084	4	True	True	True
Mac1	1	1	True	True	True	True	True	True	True	True	True	28584084	1	True	True	True
Cebpa_gene	3	1	True	True	True	True	True	True	True	True	True	28584084	16	True	False	True
Cd19	1	1	True	True	True	True	True	True	True	True	True	28584084	1	True	True	True
Foxo1_gene	3	3	True	True	True	True	True	True	True	True	True	28584084	84	True	False	True
E2A_gene	4	5	True	True	True	True	True	True	True	True	True	28584084	1287	False	False	False
Flt3	3	1	True	True	True	True	True	True	True	True	True	28584084	4	True	False	True
KLF4	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
JNK	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
ERK	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
AKT	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
MKK7	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
MEKK1	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
RAP1	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
C3G	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
RAF	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
PKC	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
RAS	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
Maff	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
ATF2	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
TrkA	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
PI3K	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
JUNB	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
G(i/o)	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
NPYY1	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
FAK	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
Itga1	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
Egr1	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
Npy	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
AP1	4	15	True	True	True	True	True	True	True	True	True	27148350	32767	False	True	True
SRF	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
RSK	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
GRB2	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
SHC	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
SOS	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
CITED2	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
P53	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
CREB	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
JUND	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
BTG2	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
MSK1/2	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
uPAR	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
KLF6	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
FRS2	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
ETS1	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
MEKK4	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
Mapk3k	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
ARC	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
KLF5	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
RAC1	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
MEK	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
MKK6	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
Ca2+	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
PLC	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
uPA/PLAT	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
P38	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
FOS	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
MYC	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
KLF10	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
Stat3	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
DAG	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
Mmp3/10	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
Plasmin	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
ECM	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
Fosl1	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
ZFP36	2	3	True	True	True	True	True	True	True	True	True	27148350	7	False	True	True
Dusp6	1	1	True	True	True	True	True	True	True	True	True	27148350	1	True	True	True
KLF2	3	7	True	True	True	True	True	True	True	True	True	27148350	127	False	True	True
nfkb	3	1	True	True	True	True	True	True	True	True	True	21968890	16	True	False	True
p50	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
p65	2	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
ikba	3	5	True	True	True	True	True	True	True	True	True	21968890	213	False	True	True
akt	3	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
pip3	2	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
nc_nfkb_pathway	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
nik	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
ikkaa	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
mek3	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
mekk3	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
tak1_tab	4	1	True	True	True	True	True	True	True	True	True	21968890	256	True	False	True
tdum_tpl2_degr_tp2	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
tpl2_degr	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
tpl2	4	1	True	True	True	True	True	True	True	True	True	21968890	32	False	False	False
p105	1	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
irak1_ub	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
pellino	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
tollip	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
il1rc	3	1	True	True	True	True	True	True	True	True	True	21968890	8	False	True	True
ikka_a	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
ikkaa_nemo	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
dum_mek3_or_4_or_6_nuc_p38	3	7	True	True	True	True	True	True	True	True	True	21968890	127	False	True	True
mek4	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
mek6	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
il1r2	2	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
dum_il1_r2	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
il1ra	3	5	True	True	True	True	True	True	True	True	True	21968890	87	False	False	False
ksrp	1	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
cyt_p38	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
ikba_diss	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
saa	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
dum_cebp_saa	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
upa	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
ap1	3	7	True	True	True	True	True	True	True	True	True	21968890	127	False	True	True
atf2	3	7	True	True	True	True	True	True	True	True	True	21968890	127	False	True	True
traf6_ub	5	1	True	True	True	True	True	True	True	True	True	21968890	4194304	False	False	False
dum_irak1_or_2_traf6_ub	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
hsp27_ps	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
a20	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
hgf	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
pro_hgf	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
ikkbb_nemo	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
nemo	1	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
mk2	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
nuc_p38	2	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
p105_degr	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
ikkb_a	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
dum_il1_r1	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
il1a	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
il1b	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
irak4	2	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
myd88	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
tdum_il1r2_il1rc	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
erk12	2	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
jnk	2	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
il1b_new	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
pro_il1b	4	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
nalp_infl	1	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
il6	6	1	True	True	True	True	True	True	True	True	True	21968890	32	False	False	False
cebpb	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
gsk3	1	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
ttp	1	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
dum_cebp_il1ra	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
dum_sap1_or_elk_cfos	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
sap1	3	7	True	True	True	True	True	True	True	True	True	21968890	127	False	True	True
elk1	3	7	True	True	True	True	True	True	True	True	True	21968890	127	False	True	True
tdum_irak1c_irak12	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
irak1c	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
mek1	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
mkp1	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
il1r1	2	1	True	True	True	True	True	True	True	True	True	21968890	2	True	True	True
cox2	4	15	True	True	True	True	True	True	True	True	True	21968890	32767	False	True	True
cjun	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
dum_cebp_cox2	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
traf6	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
irak1	5	1	True	True	True	True	True	True	True	True	True	21968890	1048576	False	False	False
dum_cebp_pro_il1b	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
cebpd	3	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
hnf4a	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
ros	2	1	True	True	True	True	True	True	True	True	True	21968890	8	False	True	True
sil1r_ap	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
tdum_mkp1_p38_jnk_erk12	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
tdum_cyt_p38_tak1_tab	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
irs1_ps	3	7	True	True	True	True	True	True	True	True	True	21968890	127	False	True	True
dum_mek4_or_7_jnk	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
lbp	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
dum_tak1_tab_or_mekk3_ikkb_a	3	5	True	True	True	True	True	True	True	True	True	21968890	55	False	False	False
dum_ikkab_or_ikkbb_nemo_ikkb_a	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
cjun_gene	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
msk1	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
dum_ikkab_nemo_akt_or_ck2_p65	3	5	True	True	True	True	True	True	True	True	True	21968890	55	False	False	False
ikkab_nemo	3	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
tdum_il1ra_ilr12	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
ccl2	4	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
pi3k	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
tdum_a20_traf6_ub	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
mek7	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
inos	2	3	True	True	True	True	True	True	True	True	True	21968890	7	False	True	True
irak2	4	1	True	True	True	True	True	True	True	True	True	21968890	256	True	False	True
cfos	2	1	True	True	True	True	True	True	True	True	True	21968890	1	True	False	True
tdum_hsp27_ps_traf6_ub	1	1	True	True	True	True	True	True	True	True	True	21968890	1	True	True	True
ikba_degr	4	13	True	True	True	True	True	True	True	True	True	21968890	14335	False	False	False
il8	5	1	True	True	True	True	True	True	True	True	True	21968890	32	False	False	False
STAT5	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
IL-2R	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
IL-21R	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
Blimp1	6	7	True	True	True	True	True	True	True	True	True	26751566	5533798042131496960	False	True	True
Irf4	4	11	True	True	True	True	True	True	True	True	True	26751566	32597	False	True	True
Bcl6	7	13	True	True	True	True	True	True	True	True	True	26751566	158178131498404988884704354616177852416	False	False	False
Bach2	2	1	True	True	True	True	True	True	True	True	True	26751566	4	True	True	True
Pax5	4	3	True	True	True	True	True	True	True	True	True	26751566	53248	False	True	True
ERK	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
STAT3	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
CD40	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
BCR	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
STAT6	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
IL-4R	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
NF-kB	1	1	True	True	True	True	True	True	True	True	True	26751566	1	True	True	True
XBP1	2	1	True	True	True	True	True	True	True	True	True	26751566	2	True	True	True
AID	4	5	True	True	True	True	True	True	True	True	True	26751566	22272	False	False	False
BID	5	3	True	True	True	True	True	True	True	True	True	22102804	704643072	False	True	True
Caspase	6	19	True	True	True	True	True	True	True	True	True	22102804	71860777161588736	False	False	False
BclxL	6	3	True	True	True	True	True	True	True	True	True	22102804	8070450532247928832	False	True	True
Apoptosis	2	3	True	True	True	True	True	True	True	True	True	22102804	7	False	True	True
MCL1	6	1	True	True	True	True	True	True	True	True	True	22102804	281474976710656	False	False	False
GZMB	4	5	True	True	True	True	True	True	True	True	True	22102804	22272	False	False	False
TNF	2	1	True	True	True	True	True	True	True	True	True	22102804	4	True	True	True
NFKB	6	25	True	True	True	True	True	True	True	True	True	22102804	4557431162615627776	False	False	False
IL2	5	7	True	True	True	True	True	True	True	True	True	22102804	715784192	False	True	True
TBET	3	3	True	True	True	True	True	True	True	True	True	22102804	112	False	True	True
NFAT	2	1	True	True	True	True	True	True	True	True	True	22102804	4	True	True	True
STAT3	2	1	True	True	True	True	True	True	True	True	True	22102804	4	True	True	True
FLIP	5	5	True	True	True	True	True	True	True	True	True	22102804	1349517312	False	False	False
DISC	6	11	True	True	True	True	True	True	True	True	True	22102804	3675731796164608	False	False	False
CREB	3	1	True	True	True	True	True	True	True	True	True	22102804	16	True	False	True
IFNG	7	7	True	True	True	True	True	True	True	True	True	22102804	20040064622071666324044513280	False	False	False
TCR	3	1	True	True	True	True	True	True	True	True	True	22102804	64	False	True	True
CTLA4	2	1	True	True	True	True	True	True	True	True	True	22102804	4	True	True	True
PDGFR	3	3	True	True	True	True	True	True	True	True	True	22102804	112	False	True	True
S1P	3	1	True	True	True	True	True	True	True	True	True	22102804	64	False	True	True
FasL	5	15	True	True	True	True	True	True	True	True	True	22102804	2147418112	False	True	True
ERK	3	1	True	True	True	True	True	True	True	True	True	22102804	16	True	False	True
ZAP70	3	1	True	True	True	True	True	True	True	True	True	22102804	64	False	True	True
LCK	5	11	True	True	True	True	True	True	True	True	True	22102804	721354752	False	True	True
FYN	3	3	True	True	True	True	True	True	True	True	True	22102804	112	False	True	True
