nodename	pmid	model	k	BF as int	UF	EUF	EUCF	UCF	EF	ECF	NCF	Chain	Chain_1	bias	Chain-U
v_CXCL9gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CYBBgene	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_CYCScytoplasm	18433497	1	4	127	True	True	True	True	True	True	True	False	False	7	False
v_CYCSmytochondria	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Cell_Shrinkage	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_DAXX	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_DFFA	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_DIABLOcytoplasm	18433497	1	4	5461	True	True	True	True	True	True	True	False	False	7	False
v_DIABLOmitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_DNA	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_DNA_Fragmentation	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_Diacyl_Lipopeptides	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_EIF2AK2_PRKRA	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_EIF2AK2cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_EIF2AK2gene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_EIF2S1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ENDOGcytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_ENDOGmitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ENDOGnucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_EP300	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_FADD	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_FAF1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_FAS	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_FASLG_FAS	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_FASLG_FAS_FADD_FAF1_DAXX	18433497	1	4	1	True	True	True	True	True	True	True	True	False	1	True
v_FASLG_FAS_FADD_FAF1_DAXX_CFLAR	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_FASLGgene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_FASgene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Flagellin	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Fragmented_DNAcytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Fragmented_DNAnucleus	18433497	1	3	21	True	True	True	True	True	True	True	False	False	3	False
v_G1P2gene	18433497	1	9	788694634062247234307296764184923607469040784507538128520129719894534548662695775856520267271648514934203446947489148700708629306704710321471877080416255	True	True	True	True	True	True	False	False	False	367	False
v_G1P3gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_GAS2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_GBP1gene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_HIST2H4gene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_HLA_Bgene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_HSPA1A	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_HTRA2cytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_HTRA2mitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ICAM1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IDFFA	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_IER3gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IFIT1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IFIT2gene	18433497	1	4	21887	True	True	True	True	True	True	True	False	False	11	False
v_IFNAR	18433497	1	6	19	True	True	True	True	True	True	True	False	False	3	False
v_IFNAR1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IFNAR2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IFNA_IFNA	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IFNAgene	18433497	1	8	57896044618658097711785492504343953926634992332820282019728792003956564819967	True	True	True	True	True	True	True	False	True	255	True
v_IFNB1_IFNB1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IFNB1gene	18433497	1	9	6703801669953903702780835845215700924092584188332866530902508543716068481125825473565293331919716406795648630851308220418934183414179415501626733649461247	True	False	False	True	False	False	False	False	False	496	False
v_IFNGR	18433497	1	4	1	True	True	True	True	True	True	True	True	False	1	True
v_IFNGR1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IFNGR2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IFR5gene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_IKBKB	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IKBKE	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IKBKE_TBK1	18433497	1	3	1	True	True	True	True	True	True	True	True	False	1	True
v_IKBKG	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IKBKG_CHUK_IKBKB	18433497	1	5	65541	True	True	True	True	True	True	True	False	False	3	False
v_IL12Bgene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IL15gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IL1Bgene	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_IL1R1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ILIB_IL1R1	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_ILIB_IL1R1_MYD88_IRAK1_IRAK4	18433497	1	4	1	True	True	True	True	True	True	True	True	False	1	True
v_ILIB_IL1R1_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_IPARP	18433497	1	3	19	True	True	True	True	True	True	True	False	False	3	False
v_IRAK1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRAK2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRAK4	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF1_IRF1cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF1_IRF1nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF1cytoplasm	18433497	1	3	127	True	True	True	True	True	True	True	False	True	7	True
v_IRF1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF2gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF3	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_IRF3_IRF3cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF3_IRF3nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF3_IRF5cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF3_IRF5nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF3_IRF7cytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_IRF3_IRF7nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF4	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF5	18433497	1	3	127	True	True	True	True	True	True	True	False	True	7	True
v_IRF5_IRF5cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF5_IRF5nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF5_IRF7cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF5_IRF7nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF7	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF7_IRF7cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF7_IRF7nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_IRF8	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_IRF9	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ISGF3cytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_ISGF3nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Inactivation_of_Protein_Synthesis	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Inactive_DNA_Repair	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_JAK1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_JAK2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_LMNA	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_LPS	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_MAP3K14	18433497	1	3	127	True	True	True	True	True	True	True	False	True	7	True
v_MAP3K7	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_MAP3K7IP1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_MAP3K7IP1_MAP3K7IP2_MAP3K7	18433497	1	10	9649340769776349618630915417390658987772498722136713669954798667326094136661	True	True	True	True	True	True	True	False	False	127	False
v_MAP3K7IP2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_MDM2gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_MYD88	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_NFKB1_p50	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_NFKB2p100	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_NFKB2p100_NFKB2p100_Ub	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_NFKB2p100_NFKB2p100cytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_NFKB2p100_RELB_Ub	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_NFKB2p100_RELBcytoplasm	18433497	1	3	1	True	True	True	True	True	True	True	True	False	1	True
v_NFKB2p52_NFKB2p52cytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_NFKB2p52_NFKB2p52nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_NFKB2p52_RELBcytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_NFKB2p52_RELBnucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_NFKBIA	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_NFKBIA_RELAp65_NFKB1p50	18433497	1	5	7	True	True	True	True	True	True	True	False	False	3	False
v_NOS2Agene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_OAS1gene	18433497	1	4	32767	True	True	True	True	True	True	True	False	True	15	True
v_PARP	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PDCD8_HSPA1A	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_PDCD8cytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_PDCD8mitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PDCD8nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PKA	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PKC	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PLSCR1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PMAIPgene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PRKCD	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PRKCZ	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PRKRA	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PRKRAgene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PSMB9gene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_PTP	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_PTPN2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ProCASP1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ProCASP10	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ProCASP2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ProCASP3	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ProCASP4	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ProCASP6	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ProCASP7	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ProCASP8	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Proteasome	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_RELA_p65	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_RELAp65_NFBK1p50nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_RELAp65_NFKB1p50cytoplasm	18433497	1	7	659441904523645034222705837298614527	True	True	True	True	True	True	True	False	False	63	False
v_RELB	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_RIPK1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_RIPK1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_RIPK3	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_RPS6KA5	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_SOCS1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_SOCS3	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_SOD2gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_SP100gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_SPI1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_STAT1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_STAT1_STAT1_IRF9cytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_STAT1_STAT1_IRF9nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_STAT1_STAT1cytoplasm	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_STAT1_STAT1nucleus_p1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_STAT1_STAT1nucleus_p2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_STAT1_STAT2	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_STAT1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_STAT2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TAP1gene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_TBK1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TICAM1	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TICAM2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TIRAP	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR1_TLR2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR1_TLR2_TIRAP_MYD88_IRAK2_IRAK1_IRAK4	18433497	1	6	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR1_TLR2_TIRAP_MYD88_IRAK2_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR2_TLR6	18433497	1	3	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR2_TLR6_TOLLIP_MYD88_IRAK1_IRAK4	18433497	1	5	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR2_TLR6_TOLLIP_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR3	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR3_TICAM1_TICAM2	18433497	1	3	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR3_TICAM1_TICAM2_RIPK1	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR3_TICAM1_TICAM2_RIPK1_RIPK3	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR3_TICAM1_TICAM2_TBK1	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR3_TICAM1_TICAM2_TRAF6	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR3_TLR3	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR4	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR4_TICAM1_TICAM2	18433497	1	3	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR5	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR5_MYD88_IRAK1_IRAK4	18433497	1	4	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR5_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR5_TLR5	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR6	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR7	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR7_MYD88_IRAK1_IRAK4	18433497	1	4	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR7_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR7_MYD88_TRAF6_IRF5	18433497	1	4	16	True	True	True	True	True	True	True	True	False	1	True
v_TLR7_TLR7	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR9	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR9_MYD88_IRAK1_IRAK4	18433497	1	4	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR9_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TLR9_MYD88_TRAF6	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TLR9_MYD88_TRAF6_IRF5	18433497	1	4	256	True	True	True	True	True	True	True	True	False	1	True
v_TLR9_TLR9	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TNFRSF10A	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TNFRSF10B	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TNFRSF10Bgene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TNFRSF17	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TNFRSF1A	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TNFRSF1B	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TNFSF10_TNFRSF10A	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TNFSF10_TNFRSF10A_FADD	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TNFSF10_TNFSF10B	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TNFSF10_TNFSF10B_FADD	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TNFSF10gene	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_TNFSF13B_TNFRSF17	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TNFSF13B_TNFRSF17_TRAF5	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TNF_BAG4_TNFRSF1A	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TNF_IKBKG_Complex	18433497	1	4	1	True	True	True	True	True	True	True	True	False	1	True
v_TNF_TNFRSF1A	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TNF_TNFRSF1A_FADD_TRADD	18433497	1	3	1	True	True	True	True	True	True	True	True	False	1	True
v_TNF_TNFRSF1A_FADD_TRADD_TRAF2_RIPK1	18433497	1	3	1	True	True	True	True	True	True	True	True	False	1	True
v_TNF_TNFRSF1B	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TNF_TNFRSF1B_TRAF2	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_TOLLIP	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TP53cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TP53nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TRADD	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TRAF1gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TRAF2cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TRAF2gene	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TRAF3	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TRAF5	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TRAF6	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_TYK2	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Triacyl_Lipopeptides	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Ub	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_Viral_Bacterial_CpG	18433497	1	2	7	True	True	True	True	True	True	True	False	True	3	True
v_cGAS2	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_cLMNA	18433497	1	2	1	True	True	True	True	True	True	True	True	False	1	True
v_dsRNA	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_ssRNA	18433497	1	1	1	True	True	True	True	True	True	True	True	True	1	True
v_tBID	18433497	1	3	21	True	True	True	True	True	True	True	False	False	3	False
v_Akt1	19118495	3	5	2147483647	True	True	True	True	True	True	True	False	True	31	True
v_CDK2	19118495	3	3	64	True	True	True	True	True	True	True	False	True	1	True
v_CDK4	19118495	3	3	64	True	True	True	True	True	True	True	False	True	1	True
v_CDK6	19118495	3	1	1	True	True	True	True	True	True	True	True	True	1	True
v_CycD1	19118495	3	4	273	True	True	True	True	True	True	True	False	False	3	False
v_CycE1	19118495	3	1	1	True	True	True	True	True	True	True	True	True	1	True
